artist;num_songs
Les Miserables;42
Venom;90
Fatboy Slim;40
Irving Berlin;70
Mazzy Star;46
Religious Music;83
Janis Joplin;106
Stone Roses;37
Everlast;78
Beautiful South;149
Norah Jones;105
Culture Club;76
Freddie King;30
Wyclef Jean;45
Freddie Aguilar;13
Stone Temple Pilots;62
Santana;103
Barbra Streisand;157
Harry Connick, Jr.;145
Israel Houghton;24
Tina Turner;112
Kenny Loggins;153
Pharrell Williams;30
Hanson;129
Gary Numan;170
Bon Jovi;181
Bob Dylan;188
John Legend;93
Hillsong;172
Wanda Jackson;145
Randy Travis;177
Quietdrive;36
Chicago;160
Aled Jones;23
Carly Simon;168
Wham!;21
Tool;36
Lionel Richie;121
Arlo Guthrie;113
Rainbow;64
X-Ray Spex;22
Christina Aguilera;146
Toto;127
Gary Valenciano;56
Stevie Wonder;139
Rush;175
George Strait;188
The Temptations;117
Great Big Sea;93
Indiana Bible College;93
Nicki Minaj;88
Hank Snow;158
P!nk;120
Jimmy Buffett;164
Matt Monro;41
Soundtracks;3
Steely Dan;88
Keith Urban;110
Mud;26
Quicksilver Messenger Service;15
Underworld;41
Zoegirl;38
Hank Williams;160
Lauryn Hill;48
Kylie Minogue;172
Roxette;138
The Jam;86
Qntal;8
Noa;90
Ungu;2
Supertramp;74
Roy Orbison;178
Bonnie Raitt;149
Morrissey;177
Bryan White;48
Unearth;39
Andrea Bocelli;25
Bread;75
Boney M.;98
Styx;121
Xavier Rudd;40
Ellie Goulding;77
Kari Jobe;38
Death;60
Ian Hunter;77
Faith Hill;109
Dean Martin;186
Omd;78
Perry Como;148
Backstreet Boys;164
New Order;99
Within Temptation;71
Nazareth;184
Squeeze;146
Young Jeezy;57
Verve;51
Bruce Springsteen;175
Louis Jordan;27
Primus;83
Gipsy Kings;5
Nirvana;103
Tiffany;49
Will Smith;30
Eurythmics;142
Cher;187
Meat Loaf;92
Bruno Mars;70
Eagles;41
Rage Against The Machine;55
Quasi;25
John Martyn;61
David Guetta;63
David Allan Coe;162
Europe;82
Cinderella;48
Prince;106
Marianne Faithfull;160
Neil Young;185
Glen Campbell;159
Don McLean;67
Eppu Normaali;3
Devo;125
Lorde;15
Faces;37
W.A.S.P.;112
Korn;166
Wishbone Ash;102
Ten Years After;47
Patti Smith;104
